Num,paintKey,idPaint,batchNumber,carBrand,paintCodeAndName,paintCode,paintName,initYear,endYear,paintBrand,typePaint,purchaseDate,Unit,Layer,Volume
55,PBN-5507190-C,5507190,-,Ford,M7148A / HG / Smokestone Metallic,M7148A / HG , Smokestone Metallic,2006,2015,Pro//Base National Rule - Pbn,Basecoat,-,1 ,1 ,0.473 L
56,PBN-5376865-C,5376865,-,Ford,L7 / Bright Magenta Metallic,L7 , Bright Magenta Metallic,2011,-,Pro//Base National Rule - Pbn,Basecoat,08/30/2016,1 ,1 ,0.473 L
57,PNBN-5367833-B,5367833,-,Nissan,QAB / White Pearl,QAB , White Pearl,2009,2015,Pro//Base National Rule - Pbn,Groundcoat,-,1 ,1 ,0.473 L
58,PBT-101014441-A,101014441,-,Dodge,PDN / 503 / 503B / 264 / Ceramic Gray,PDN / 503 / 503B / 264 , Ceramic Gray,2017,2024,PBT - PRO//BASE 3.5 VOC,Basecoat,03/29/2024,1 ,1 ,0.473 L
59,PBT-1561615-B,1561615,-,Mazda,41W / Jet Black Mica,41W , Jet Black Mica,2012,2024,PBT - PRO//BASE 3.5 VOC,Basecoat,-,1 ,1 ,0.473 L
60,C6-4957989-A,4957989,36600983,Chevrolet,GAZ-8624 / 50 / 50U / GAZ / GCZ / 8624 / WA8624 Olympic White,GAZ-8624 / 50 / 50U / GAZ / GCZ / 8624 , WA8624 Olympic White,1990,2024,C6 - Crossfire B/C,-,10/26/2023,1 ,1 ,0.473 L
61,-,-,-,Toyota,1D6 / Silver Metallic,1D6 , Silver Metallic,2000,2016,Wandabase HS,Two-coat,10/00/2016,1 ,1 ,0.473 L
62,-,00419640,-,Ford,14:D7 / D7 / ER4EWHA / ER4EXTA / FA14:D7 / M7298 / Sunset,14:D7 / D7 / ER4EWHA / ER4EXTA / FA14:D7 / M7298 , Sunset,-,-,roberlo,,09/26/2023,1 ,1 ,0.473 L
63,PBT-1386454-D,1386454,39588360,Jeep,PRV / NRV / Velvet Red Pearl,PRV / NRV , Velvet Red Pearl,2016,2024,PBT - PRO//BASE 3.5 VOC,Basecoat,03/04/2024,1 ,1 ,0.473 L
64,PBT-100838823-B,100838823,-,Hyundai,2R / Continental Silver Metallic,2R , Continental Silver Metallic,2006,2016,PBT - PRO//BASE 3.5 VOC,Basecoat,-,1 ,1 ,0.473 L
65,PBT-1401441-B,1401441,-,Ford,6986 / AQ / M6985A / Arizona Beige Metallic,6986 / AQ / M6985A , Arizona Beige Metallic,1999,2022,PBT - PRO//BASE 3.5 VOC,Basecoat,-,1 ,1 ,0.473 L
66,PBT-1574439-B,1574439,14206598,BMW,A52 / Space Gray Metallic,A52 , Space Gray Metallic,2007,2019,PBT,-,-,1 ,1 ,0.473 L
67,PBT-100699152-B,100699152,-,Chevrolet,GLJ / WA810T / Ashen Gray Metallic,GLJ / WA810T , Ashen Gray Metallic,2012,2016,PBT - PRO//BASE 3.5 VOC,Basecoat,-,1 ,1 ,0.473 L
68,PBN-5763921-B,5763921,-,Hyundai,P3 / Harbor Gray Metallic,P3 , Harbor Gray Metallic,2010,2014,Pro//Base National Rule - Pbn,Basecoat,08/10/2017,1 ,1 ,0.473 L
69,C6-4957805-A,4957805,-,Ford,Z2 / Frozen White,Z2 , Frozen White,2008,-,C6 - Crossfire B/C,-,10/06/2023,1 ,1 ,0.473 L
70,56-67615-00-A,3096802,-,Hyundai,XX / Tidal Wave Metallic,XX , Tidal Wave Metallic,1998,2004,Crossfire Platinum B/C 5.0,Basecoat,12/23/2013,1 ,1 ,0.473 L
71,PBT-100991278-C,100991278,-,Ford,J7 / FM6E / FM6EWHA / FM6 / 0FU / 2ZQ / 7325 / 7XU / 93A / C4J / COB / EUQ / JKQ / LFJ / M7325A / MT / NYU / RJH / SWW / WVQ / Magnetic Metallic,J7 / FM6E / FM6EWHA / FM6 / 0FU / 2ZQ / 7325 / 7XU / 93A / C4J / COB / EUQ / JKQ / LFJ / M7325A / MT / NYU / RJH / SWW / WVQ , Magnetic Metallic,2013,2023,PBT - PRO//BASE 3.5 VOC,Basecoat,-,1 ,1 ,0.473 L
72,56-79713-00-B,4429247,-,Chevrolet,503Q / Ink Slate Metallic,503Q , Ink Slate Metallic,2008,2009,Crossfire Platinum B/C 5.0,Basecoat,10/30/2012,1 ,1 ,0.473 L
73,PBT-100949541-B,100949541,-,Ford,APFEWH / UX / M7226A / Ingot Silver Metallic,APFEWH / UX / M7226A , Ingot Silver Metallic,2011,2017,PBT,-,03/05/2022,1 ,1 ,0.473 L
74,PBT-1355131-C,1355131,-,Ford,LQ / M7235A / M7235 / 7235 / Pale Adobe Metallic,LQ / M7235A / M7235 / 7235 , Pale Adobe Metallic,2011,2014,PBT,-,-,1 ,1 ,0.473 L
75,PBT-1570020-B,1570020,-,Chevrolet,GBN  / WA800J / 98 / White Diamond Pearl,GBN  / WA800J / 98 , White Diamond Pearl,2003,2016,PBT,-,10/06/2018,1 ,1 ,0.473 L
76,C6-4975873-A,4975873,,Chevrolet,911L / Dark Tarnished Silver Metallic,911L , Dark Tarnished Silver Metallic,2006,2013,Crossfire B/C,Basecoat,11/24/2015,1 ,1 ,0.473 L
77,PBT-1401630-B,1401630,41151019,Nissan,BKAD / KAD / Gun Metallic,BKAD / KAD , Gun Metallic,2008,2025,PBT - PRO//BASE 3.5 VOC,Basecoat,05/02/2024,1 ,1 ,0.473 L
78,PBT-100304057-C,100304057,-,Nissan,B51 / Electric Blue Metallic,B51 , Electric Blue Metallic,2006,2025,PBT - PRO//BASE 3.5 VOC,Basecoat,-,1 ,1 ,0.473 L
79,C6-4962127-B,4962127,41074276,Chrysler,AY111WS2 / PS2 / QS2 / S2 / WS2 / Bright Silver Metallic,AY111WS2 / PS2 / QS2 / S2 / WS2 , Bright Silver Metallic,1999,2022,C6 - Crossfire B/C,-,04/30/2024,1 ,1 ,0.473 L
80,C6-4979784-A,4979784,19115078,Chevrolet,805K / WA805K / 62 / Dark Spiral Gray Metallic,805K / WA805K / 62 , Dark Spiral Gray Metallic,2003,2006,C6,-,-,1 ,1 ,0.473 L
81,C6-5794895-B,5794895,-,Ford,DX / Dark Blue Pearl,DX , Dark Blue Pearl,2003,2015,Crossfire B/C,Basecoat,10/10/2017,1 ,1 ,0.473 L
82,PBT Midcoa - 1570024 - D,1570024,12697786,Chevrolet,WA88J / 800J / 987 White Diamond Pearl,WA88J / 800J , 987 White Diamond Pearl,2003,2016,PBT Midcoat,Midcoat,12/06/2016,1 ,1 ,0.473 L
83,500-163132,-,398,Honda,NH797M / Modern Steel Metallic,NH797M,Modern Steel Metallic,-,-,500 Series Berobase,-,04/22/2022,1 ,1 ,0.473 L
84,-,-,-,Jeep,PSC / JSC / Billet SIlver Metallic,PSC / JSC , Billet SIlver Metallic,-,-,Prospray Basecoat,Single Layer,-,1 ,1 ,0.473 L
85,PBT-100289935-B,100289935,21157774,Lexus,8P6 / Blue Vapor Metallic,8P6 , Blue Vapor Metallic,2001,2006,PBT,-,-,1 ,1 ,0.473 L
86,PBN-5379142-C,5379142,-,Chevrolet,502Q / Inferno Orange Metallic,502Q , Inferno Orange Metallic,2008,2016,Pro//Base National Rule - Pbn,Basecoat,08/24/2017,1 ,1 ,0.473 L
87,-,-,-,Nissan,NISNAC(Y) / New Red Metallic,NISNAC(Y) , New Red Metallic,2009,2015,Wandabase HS,Two-coat,-,1 ,1 ,0.473 L
88,C6-4957413-B,4957413,-,Nissan,A20 / Code Red,A20 , Code Red,2005,2015,C6 - Crossfire B/C,Basecoat,05/30/2017,1 ,1 ,0.473 L
89,PBN-5378125-B,5378125,-,Ford,T7 / Charcoal Beige Metallic,T7 , Charcoal Beige Metallic,2005,2009,Pro//Base National Rule - Pbn,Basecoat,08/15/2018,1 ,1 ,0.473 L
90,PBT-1353312-B,1353312,-,Chevrolet,WA213M / Graystone Metallic,WA213M , Graystone Metallic,-,-,PBT - PRO//BASE 3.5 VOC,Basecoat,-,1 ,1 ,0.473 L
91,C6-4981380-B,4981380,-,GMC,9927 / Dark Hunt Club Red Metallic,9927 , Dark Hunt Club Red Metallic,1993,1996,Crossfire B/C,Basecoat,06/13/2017,1 ,1 ,0.473 L
92,PBT-1404589-D,1404589,-,Buick,WA317N / 317N / GCH / 53 / Antique Bronze Metallic,WA317N / 317N / GCH / 53 , Antique Bronze Metallic,2006,2007,PBT,-,-,1 ,1 ,0.473 L
93,C6-5325230-A,5325230,-,Chevrolet,GHA / 706S / Magna Steel Metallic,GHA / 706S , Magna Steel Metallic,-,-,C6 - Crossfire B/C,-,-,1 ,1 ,0.473 L
94,B8100416887-Q,100416887,-,Cadillac,GBE / 897W505Q / 505Q / Crystal Claret Tintcoat,GBE / 897W505Q / 505Q , Crystal Claret Tintcoat,2012,2016,B8,-,03/10/2020,1 ,1 ,0.473 L
95,PBT-1406939-B,1406939,-,Nissan,BW5 / Twilight Blue Metallic,BW5 , Twilight Blue Metallic,1999,2003,PBT - PRO//BASE 3.5 VOC,Basecoat,-,1 ,1 ,0.473 L
96,-,-,-,Honda,NH662P / Sagebrush Pearl,NH662P , Sagebrush Pearl,2003,2006,-,Basecoat,09/30/2014,1 ,1 ,0.473 L
97,PBT-1456533-B,1456533,16729746,Nissan,RAP / Metallic Fish Metallic,RAP , Metallic Fish Metallic,2010,2012,PBT,-,12/09/2019,1 ,1 ,0.473 L
98,C6-4957989-A,4957989,38619875,Buick,50 / GAZ / 8624 / WA8624 / GAZ-8624 / Olympic White,50 / GAZ / 8624 / WA8624 / GAZ-8624 , Olympic White,2000,2024,C6 - Crossfire B/C,Basecoat,06/25/2024,1 ,1 ,0.473 L
99,PBT-100275514-B,100275514,12219492,Honda,NH741M / Pewter Metallic,NH741M , Pewter Metallic,-,-,PBT,-,10/24/2018,1 ,1 ,0.473 L
100,PBT-100936840-B,100936840,-,GMC,GBV / 57 / WA637R / 637R / WA618U / 618U / WA618J / 618J / Cyber Gray Metallic,GBV / 57 / WA637R / 637R / WA618U / 618U / WA618J / 618J , Cyber Gray Metallic,2009,2017,PBT - PRO//BASE 3.5 VOC,Basecoat,-,1 ,1 ,0.473 L
101,C6-4983244-A,4983244,-,Chrysler,PBM / Steel Blue Metallic,PBM , Steel Blue Metallic,2007,2010,Crossfire B/C,Basecoat,-,1 ,1 ,0.473 L
102,PBT-1395420-D,1395420,-,Chrysler,PVE / Tangerine Pearl,PVE , Tangerine Pearl,2003,2008,PBT,-,08/16/2018,1 ,1 ,0.473 L
103,C6-4960081-A,4960081,28126447,Chrysler,GW7 / PW7 / W12 / Bright White,GW7 / PW7 / W12 , Bright White,1991,2023,C6 - Crossfire B/C,-,10/17/2022,1 ,1 ,0.473 L
104,PBT-100842074-D,100842074,24096088,Ford,UK / M7207A / 7207 / Royal Red Metallic,UK / M7207A / 7207 , Royal Red Metallic,2009,2012,PBT - PRO//BASE 3.5 VOC,Basecoat,-,1 ,1 ,0.473 L
105,PBN-5377586-B,5377586,-,Hyundai,S3 / Phantom Black Metallic,S3 , Phantom Black Metallic,2010,2015,Pro//Base National Rule - Pbn,Basecoat,-,1 ,1 ,0.473 L
106,-,-,-,Suzuki,73L / Bright Red,73L , Bright Red,2004,2008,Crossfire B/C,Basecoat,08/14/2014,1 ,1 ,0.473 L
107,3PNISSL2-W,-,-,Nissan,QAB / White,QAB , White,2008,2017,Wandabase HS,Basecoat,,1 ,2/2,0.473 L
108,PBT-1395461-D,1395461,28364175,Honda,R529P / Dark Cherry Pearl,R529P , Dark Cherry Pearl,2007,2020,PBT - PRO//BASE 3.5 VOC,Basecoat,-,1 ,1 ,0.473 L
109,PBN-5376192-C,5376192,-,Kia,IR / IRR / Dark Cherry Metallic,IR / IRR , Dark Cherry Metallic,2010,2016,Pro//Base National Rule - Pbn,Basecoat,09/12/2017,1 ,1 ,0.473 L
110,-,-,-,Ford,U1 / Sport Blue Metallic,U1 , Sport Blue Metallic,2009,2010,Crossfire B/C,Basecoat,07/07/2014,1 ,1 ,0.473 L
